Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2018","2018","An","9272935","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2019","2019","An","9055488","A","Official figure",""
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2020","2020","An","8838968","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2021","2021","An","8807618","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2022","2022","An","8635575","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2023","2023","An","8467552","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5111","Stocks","02140","Swine / pigs","2024","2024","An","8299528","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2016","2016","An","7903450","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2017","2017","An","8260995","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2018","2018","An","8254108","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2019","2019","An","8541761","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2020","2020","An","7622724","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2021","2021","An","7178088","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2022","2022","An","6748614","A","Official figure",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2023","2023","An","6319818","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","360","Indonesia","5111","Stocks","02140","Swine / pigs","2024","2024","An","5767595","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2016","2016","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2017","2017","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2018","2018","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2019","2019","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2020","2020","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2021","2021","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2022","2022","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2023","2023","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5111","Stocks","02140","Swine / pigs","2024","2024","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2016","2016","An","3700000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2017","2017","An","3869000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2018","2018","An","3824663","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2019","2019","An","4115000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2020","2020","An","4298000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2021","2021","An","4300000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2022","2022","An","4408000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2023","2023","An","4540000","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5111","Stocks","02140","Swine / pigs","2024","2024","An","4767000","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2016","2016","An","1654381","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2017","2017","An","1849351","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2018","2018","An","1967538","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2019","2019","An","1888460","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2020","2020","An","1869772","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2021","2021","An","1672995","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2022","2022","An","1502947","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2023","2023","An","1240224","A","Official figure",""
"QCL","Crops and livestock products","458","Malaysia","5111","Stocks","02140","Swine / pigs","2024","2024","An","1234242","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2016","2016","An","16524336","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2017","2017","An","19273357","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2018","2018","An","6069098","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2019","2019","An","6428563","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2020","2020","An","6778694","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2021","2021","An","7337000","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2022","2022","An","7803000","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2023","2023","An","7800000","E","Estimated value",""
"QCL","Crops and livestock products","104","Myanmar","5111","Stocks","02140","Swine / pigs","2024","2024","An","7800000","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2016","2016","An","1291308","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2017","2017","An","1328036","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2018","2018","An","1435369","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2019","2019","An","1488338","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2020","2020","An","1519593","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2021","2021","An","1588838","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2022","2022","An","1504624","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2023","2023","An","1357507","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5111","Stocks","02140","Swine / pigs","2024","2024","An","1497411","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2016","2016","An","12478711","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2017","2017","An","12427790","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2018","2018","An","12604441","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2019","2019","An","12709248","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2020","2020","An","12795721","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2021","2021","An","9943119","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2022","2022","An","9426092","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2023","2023","An","9765636","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5111","Stocks","02140","Swine / pigs","2024","2024","An","9566230","A","Official figure",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2016","2016","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2017","2017","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2018","2018","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2019","2019","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2020","2020","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2021","2021","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2022","2022","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2023","2023","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","702","Singapore","5111","Stocks","02140","Swine / pigs","2024","2024","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2016","2016","An","81420","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2017","2017","An","95120","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2018","2018","An","97990","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2019","2019","An","91200","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2020","2020","An","92640","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2021","2021","An","99010","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2022","2022","An","100250","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2023","2023","An","101970","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5111","Stocks","02140","Swine / pigs","2024","2024","An","109660","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2016","2016","An","7680117","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2017","2017","An","7740088","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2018","2018","An","7789624","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2019","2019","An","7820731","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2020","2020","An","7848826","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2021","2021","An","7879613","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2022","2022","An","7852721","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2023","2023","An","7859968","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","764","Thailand","5111","Stocks","02140","Swine / pigs","2024","2024","An","7867214","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2016","2016","An","421067","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2017","2017","An","391871","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2018","2018","An","389242","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2019","2019","An","453444","A","Official figure",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2020","2020","An","374660","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2021","2021","An","246629","A","Official figure",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2022","2022","An","358257","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2023","2023","An","385048","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","626","Timor-Leste","5111","Stocks","02140","Swine / pigs","2024","2024","An","385128","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2016","2016","An","29075315","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2017","2017","An","27406739","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2018","2018","An","28151948","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2019","2019","An","19615526","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2020","2020","An","22027858","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2021","2021","An","23202782","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2022","2022","An","24745382","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2023","2023","An","25546030","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5111","Stocks","02140","Swine / pigs","2024","2024","An","26519409","A","Official figure",""
