"Country","Reservoir_Risk","Spillover_Activity","Detection_Capacity"
"Bangladesh",5,1,0.9938125
"India",3.01045723006871,0.347731958762887,1
"Malaysia",2.47823694239575,0.104639175257732,0.401875
"Thailand",1.71143845160826,0.163092783505155,0.01
"Philippines",1.44278170952524,0.01,0.8123125
"Singapore",1,0.0202061855670103,0.637
