"Country","GBIF_Recs","GBIF_Spp","NCBI_Seqs","Last_Seq_Year","log_Host","log_Virus","z_Host_val","z_Virus_val","z_Host","z_Virus","Raw_Z_Score","Reservoir_Risk_Calculated"
"Bangladesh",58,2,61,2025,4.07753744390572,4.12713438504509,-0.512049006704458,1.62875935219602,-0.512049006704458,1.62875935219602,0.915156565895859,1
"India",1815,10,9,2025,7.50439155916124,2.30258509299405,1.36836149834426,0.492626000665597,1.36836149834426,0.492626000665597,0.78453783322515,0.936000138332571
"Malaysia",152,2,6,1999,5.03043792139244,1.94591014905531,0.0108340831110973,0.270527150703313,0.0108340831110973,0.270527150703313,0.183962794839241,0.641733622407108
"Philippines",709,10,0,2000,6.56526497003536,0,0.853036525535721,-0.94117670901429,0.853036525535721,-0.94117670901429,-0.343105630830953,0.383483479855185
"Thailand",88,6,1,2017,4.48863636973214,0.693147180559945,-0.286467551311629,-0.509559085536349,-0.286467551311629,-0.509559085536349,-0.435195240794776,0.338361909784908
"Singapore",10,1,0,2000,2.39789527279837,0,-1.43371554897499,-0.94117670901429,-1.43371554897499,-0.94117670901429,-1.10535632233452,0.01
