"Origin_Country","Dest_Country","Inbound_Volume","Date_Obj","Year","Month","Type","Global_Inbound_Volume"
"Bangladesh","China",8850,2016-01-01,2016,1,"History",4865022
"Bangladesh","China",6727,2016-02-01,2016,2,"History",5219579
"Bangladesh","China",9438,2016-03-01,2016,3,"History",4954010
"Bangladesh","China",10206,2016-04-01,2016,4,"History",4950277
"Bangladesh","China",9630,2016-05-01,2016,5,"History",5117595
"Bangladesh","China",8484,2016-06-01,2016,6,"History",5074460
"Bangladesh","China",9034,2016-07-01,2016,7,"History",5709016
"Bangladesh","China",8943,2016-08-01,2016,8,"History",5754273
"Bangladesh","China",9866,2016-09-01,2016,9,"History",5219704
"Bangladesh","China",10089,2016-10-01,2016,10,"History",5369074
"Bangladesh","China",9526,2016-11-01,2016,11,"History",4631629
"Bangladesh","China",9123,2016-12-01,2016,12,"History",4894122
"Bangladesh","China",9416,2017-01-01,2017,1,"History",5323435
"Bangladesh","China",7805,2017-02-01,2017,2,"History",4995617
"Bangladesh","China",11306,2017-03-01,2017,3,"History",5148149
"Bangladesh","China",13352,2017-04-01,2017,4,"History",5029898
"Bangladesh","China",12475,2017-05-01,2017,5,"History",5221640
"Bangladesh","China",12058,2017-06-01,2017,6,"History",5241546
"Bangladesh","China",12937,2017-07-01,2017,7,"History",5857053
"Bangladesh","China",13220,2017-08-01,2017,8,"History",5982731
"Bangladesh","China",13381,2017-09-01,2017,9,"History",5458671
"Bangladesh","China",13372,2017-10-01,2017,10,"History",5703288
"Bangladesh","China",12821,2017-11-01,2017,11,"History",5227920
"Bangladesh","China",11529,2017-12-01,2017,12,"History",5440839
"Bangladesh","China",11785,2018-01-01,2018,1,"History",5507951
"Bangladesh","China",10318,2018-02-01,2018,2,"History",5826348
"Bangladesh","China",14635,2018-03-01,2018,3,"History",5864903
"Bangladesh","China",14038,2018-04-01,2018,4,"History",5752919
"Bangladesh","China",11826,2018-05-01,2018,5,"History",5951604
"Bangladesh","China",11266,2018-06-01,2018,6,"History",6003233
"Bangladesh","China",11464,2018-07-01,2018,7,"History",6516943
"Bangladesh","China",11599,2018-08-01,2018,8,"History",6665448
"Bangladesh","China",14073,2018-09-01,2018,9,"History",6094741
"Bangladesh","China",16020,2018-10-01,2018,10,"History",6260555
"Bangladesh","China",16397,2018-11-01,2018,11,"History",5616744
"Bangladesh","China",13471,2018-12-01,2018,12,"History",5862846
"Bangladesh","China",16023,2019-01-01,2019,1,"History",6157987
"Bangladesh","China",11138,2019-02-01,2019,2,"History",6070095
"Bangladesh","China",16151,2019-03-01,2019,3,"History",6137055
"Bangladesh","China",14874,2019-04-01,2019,4,"History",6172751
"Bangladesh","China",13663,2019-05-01,2019,5,"History",6508387
"Bangladesh","China",13843,2019-06-01,2019,6,"History",6456942
"Bangladesh","China",14123,2019-07-01,2019,7,"History",6899196
"Bangladesh","China",12875,2019-08-01,2019,8,"History",7102432
"Bangladesh","China",16057,2019-09-01,2019,9,"History",6458966
"Bangladesh","China",14842,2019-10-01,2019,10,"History",6391475
"Bangladesh","China",14764,2019-11-01,2019,11,"History",6085336
"Bangladesh","China",13797,2019-12-01,2019,12,"History",6332301
"Bangladesh","China",13355,2020-01-01,2020,1,"History",6862967
"Bangladesh","China",5222,2020-02-01,2020,2,"History",2478638
"Bangladesh","China",4174,2020-03-01,2020,3,"History",1106191
"Bangladesh","China",1309,2020-04-01,2020,4,"History",246588
"Bangladesh","China",897,2020-05-01,2020,5,"History",357357
"Bangladesh","China",1083,2020-06-01,2020,6,"History",253627
"Bangladesh","China",1487,2020-07-01,2020,7,"History",461530
"Bangladesh","China",1368,2020-08-01,2020,8,"History",518566
"Bangladesh","China",1963,2020-09-01,2020,9,"History",483109
"Bangladesh","China",1907,2020-10-01,2020,10,"History",390805
"Bangladesh","China",1849,2020-11-01,2020,11,"History",303712
"Bangladesh","China",2016,2020-12-01,2020,12,"History",317867
"Bangladesh","China",1510,2021-01-01,2021,1,"History",296013
"Bangladesh","China",1491,2021-02-01,2021,2,"History",213205
"Bangladesh","China",1647,2021-03-01,2021,3,"History",296224
"Bangladesh","China",1015,2021-04-01,2021,4,"History",295662
"Bangladesh","China",1889,2021-05-01,2021,5,"History",330216
"Bangladesh","China",1985,2021-06-01,2021,6,"History",309384
"Bangladesh","China",1336,2021-07-01,2021,7,"History",334234
"Bangladesh","China",1159,2021-08-01,2021,8,"History",248113
"Bangladesh","China",1123,2021-09-01,2021,9,"History",245224
"Bangladesh","China",767,2021-10-01,2021,10,"History",222823
"Bangladesh","China",422,2021-11-01,2021,11,"History",222767
"Bangladesh","China",998,2021-12-01,2021,12,"History",277777
"Bangladesh","China",2498,2022-01-01,2022,1,"History",320683
"Bangladesh","China",1371,2022-02-01,2022,2,"History",320263
"Bangladesh","China",1692,2022-03-01,2022,3,"History",283530
"Bangladesh","China",929,2022-04-01,2022,4,"History",237870
"Bangladesh","China",1187,2022-05-01,2022,5,"History",235955
"Bangladesh","China",1276,2022-06-01,2022,6,"History",270481
"Bangladesh","China",1090,2022-07-01,2022,7,"History",300417
"Bangladesh","China",1262,2022-08-01,2022,8,"History",353354
"Bangladesh","China",1156,2022-09-01,2022,9,"History",407289
"Bangladesh","China",1166,2022-10-01,2022,10,"History",455004
"Bangladesh","China",1374,2022-11-01,2022,11,"History",518559
"Bangladesh","China",2087,2022-12-01,2022,12,"History",672848
"Bangladesh","China",2244,2023-01-01,2023,1,"History",899304
"Bangladesh","China",4084,2023-02-01,2023,2,"History",1194978
"Bangladesh","China",9472,2023-03-01,2023,3,"History",1813133
"Bangladesh","China",11952,2023-04-01,2023,4,"History",2495065
"Bangladesh","China",12619,2023-05-01,2023,5,"History",2909338
"Bangladesh","China",12048,2023-06-01,2023,6,"History",3174919
"Bangladesh","China",10210,2023-07-01,2023,7,"History",3742665
"Bangladesh","China",11512,2023-08-01,2023,8,"History",3843241
"Bangladesh","China",14734,2023-09-01,2023,9,"History",3686623
"Bangladesh","China",13975,2023-10-01,2023,10,"History",3941185
"Bangladesh","China",13396,2023-11-01,2023,11,"History",3629584
"Bangladesh","China",11840,2023-12-01,2023,12,"History",4132052
"Bangladesh","China",12246,2024-01-01,2024,1,"History",4063541
"Bangladesh","China",11231,2024-02-01,2024,2,"History",4423465
"Bangladesh","China",13138,2024-03-01,2024,3,"History",4212938
"Bangladesh","China",12978,2024-04-01,2024,4,"History",4407186
"Bangladesh","China",12703,2024-05-01,2024,5,"History",4644385
"Bangladesh","China",13842,2024-06-01,2024,6,"History",4740208
"Bangladesh","China",13450,2024-07-01,2024,7,"History",5447508
"Bangladesh","China",11717,2024-08-01,2024,8,"History",5552120
"Bangladesh","China",14242,2024-09-01,2024,9,"History",4954285
"Bangladesh","China",15570,2024-10-01,2024,10,"History",5250300
"Bangladesh","China",15035,2024-11-01,2024,11,"History",4738392
"Bangladesh","China",14275,2024-12-01,2024,12,"History",5064071
"Bangladesh","China",14747,2025-01-01,2025,1,"History",5613661
"Bangladesh","China",13129,2025-02-01,2025,2,"History",4913588
"Bangladesh","China",15392,2025-03-01,2025,3,"History",4997519
"Bangladesh","China",16731,2025-04-01,2025,4,"History",5350493
"Bangladesh","China",17234,2025-05-01,2025,5,"History",5492833
"Bangladesh","China",16004,2025-06-01,2025,6,"History",5459307
"Bangladesh","China",16657,2025-07-01,2025,7,"History",6071216
"Bangladesh","China",18210,2025-08-01,2025,8,"History",6167707
"Bangladesh","China",22507,2025-09-01,2025,9,"History",5497802
"Bangladesh","China",21919,2025-10-01,2025,10,"History",5940837
"Bangladesh","China",23125,2025-11-01,2025,11,"History",5444720
"Bangladesh","China",20925.7794555827,2025-12-01,2025,12,"Forecast",6188624.41543852
"Bangladesh","China",22034.6411982872,2026-01-01,2026,1,"Forecast",6826484.76487138
"Bangladesh","China",16608.4440377934,2026-02-01,2026,2,"Forecast",6515658.70563019
"Bangladesh","China",21684.0325545319,2026-03-01,2026,3,"Forecast",6429563.53428485
"Bangladesh","China",22041.2133957391,2026-04-01,2026,4,"Forecast",6106720.82890272
"Bangladesh","China",21102.7092709075,2026-05-01,2026,5,"Forecast",6753037.87747828
"India","China",40106,2016-01-01,2016,1,"History",4865022
"India","China",39824,2016-02-01,2016,2,"History",5219579
"India","China",51771,2016-03-01,2016,3,"History",4954010
"India","China",44802,2016-04-01,2016,4,"History",4950277
